Education Assistance Payments and Post-Secondary Education Withdrawals by Year ($ million),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Education Assistance Payments ($ million),0.1,1,8,40,91,159,238,326,443,563,553,582,723,757,851,1030,1229
Post-Secondary Education Withdrawals ($ million),0.2,13,38,53,145,285,402,515,651,776,886,1009,1246,1389,1581,1733,1814
Total ($ million),0.3,14,46,93,236,444,640,841,1094,1339,1439,1591,1969,2146,2432,2763,3043
